symbol,name,price,exchange
BIDU,Baidu Inc,130.08,Nasdaq Global Select
AR,Antero Resources Corp,3.8,New York Stock Exchange
ARNC,Arconic Corp (PITTSBURGH),23.76,New York Stock Exchange
VOYA,Voya Financial Inc,50.99,New York Stock Exchange
SPXU,ProShares UltraPro Short S&P500,7.98,NYSE Arca
MLCO,Melco Resorts & Entertainment Ltd,14.94,Nasdaq Global Select
SJNK,SPDR Bloomberg Barclays Short Term High Yield Bond,26.04,NYSE Arca
CWB,SPDR Bloomberg Barclays Convertible Securities,71.49,NYSE Arca
SM,SM Energy Co,1.52,New York Stock Exchange
NTRS,Northern Trust Corp,85.76,Nasdaq Global Select
DHI,D.R. Horton Inc,76.52,New York Stock Exchange
UAL,United Airlines Holdings Inc,36.06,New York Stock Exchange
HRB,H & R Block Inc,17.96,New York Stock Exchange
BTU,Peabody Energy Corp,1.63,New York Stock Exchange
JBGS,JBG SMITH Properties,25.47,New York Stock Exchange
IPG,Interpublic Group of Companies Inc,18.0,New York Stock Exchange
DE,Deere & Co,238.87,New York Stock Exchange
KHC,Kraft Heinz Co,31.99,Nasdaq Global Select
COG,Cabot Oil & Gas Corp,19.27,New York Stock Exchange
IBM,International Business Machines Corp,117.37,New York Stock Exchange
WTW,Weight Watchers International Inc,19.04,New York Stock Exchange
NYT,New York Times Co,43.28,New York Stock Exchange
DBJP,Xtrackers MSCI Japan Hedged Equity,40.6498,NYSE Arca
AAL,American Airlines Group Inc,12.8,Nasdaq Global Select
OLN,Olin Corp,17.64,New York Stock Exchange
JCI,Johnson Controls International PLC,43.1,New York Stock Exchange
VICI,VICI Properties Inc,23.27,New York Stock Exchange
VST,Vistra Corp,18.95,New York Stock Exchange
NWL,Newell Brands Inc,17.68,New York Stock Exchange
EPD,Enterprise Products Partners LP,17.17,New York Stock Exchange
KMB,Kimberly-Clark Corp,148.52,New York Stock Exchange
AEP,American Electric Power Company Inc,90.68,New York Stock Exchange
IT,Gartner Inc,125.44,New York Stock Exchange
CAT,Caterpillar Inc,168.99,New York Stock Exchange
AU,AngloGold Ashanti Limited,26.35,New York Stock Exchange
MYL,Mylan NV,15.31,Nasdaq Global Select
XRAY,DENTSPLY SIRONA Inc,44.705,Nasdaq Global Select
KKR,KKR & Co Inc,37.47,New York Stock Exchange
IEUR,iShares Core MSCI Europe,45.75,NYSE Arca
LQD,iShares iBoxx $ Investment Grade Corporate Bond,134.8,NYSE Arca
CMC,Commercial Metals Co,20.84,New York Stock Exchange
JCP,J.C. Penney Company Inc. Holding Company,0.1819,New York Stock Exchange
XBI,SPDR Series Trust S&P Biotech,116.72,NYSE Arca
SYMC,Symantec Corporation,19.98,Nasdaq Global Select
TMUS,T-Mobile US Inc,113.07,Nasdaq Global Select
EWW,iShares Inc MSCI Mexico,35.65,NYSE Arca
RMP,Rice Midstream Partners LP representing limited partner interests,18.14,New York Stock Exchange
NRG,NRG Energy Inc,33.18,New York Stock Exchange
CPB,Campbell Soup Co,47.67,New York Stock Exchange
ATHM,Autohome Inc,99.52,New York Stock Exchange
WRB,W. R. Berkley Corp,63.22,New York Stock Exchange
MOMO,Momo Inc,14.25,Nasdaq Global Select
TGT,Target Corp,164.87,New York Stock Exchange
TV,Grupo Televisa S.A.,7.05,New York Stock Exchange
GLW,Corning Inc,34.84,New York Stock Exchange
MAS,Masco Corp,56.18,New York Stock Exchange
DOV,Dover Corp,114.24,New York Stock Exchange
HRL,Hormel Foods Corp,48.76,New York Stock Exchange
S,Sprint Corporation,8.62,New York Stock Exchange
TECK,Teck Resources Ltd,13.93,New York Stock Exchange
AES,AES Corp,20.0,New York Stock Exchange
PPL,PPL Corp,28.07,New York Stock Exchange
IXUS,iShares Core MSCI Total International Stock ETF,59.81,NASDAQ Global Market
SEE,Sealed Air Corp,41.04,New York Stock Exchange
NLY,Annaly Capital Management Inc,7.18,New York Stock Exchange
FRC,First Republic Bank,127.66,New York Stock Exchange
EWT,iShares Inc MSCI Taiwan,46.09,NYSE Arca
STX,Seagate Technology PLC,51.89,Nasdaq Global Select
ADBE,Adobe Inc,494.58,Nasdaq Global Select
K,Kellogg Co,66.25,New York Stock Exchange
RTN,Raytheon Company,116.96,New York Stock Exchange
M,Macy's Inc,6.34,New York Stock Exchange
TSLA,Tesla Inc,421.94,Nasdaq Global Select
CY,Cypress Semiconductor Corporation,23.82,Nasdaq Global Select
KBE,SPDR S&P Bank,32.76,NYSE Arca
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,88.26,New York Stock Exchange
STL,Sterling Bancorp,12.3,New York Stock Exchange
NYCB,New York Community Bancorp Inc,8.33,New York Stock Exchange
TRQ,Turquoise Hill Resources Ltd,0.7861,New York Stock Exchange
NBL,Noble Energy Inc,8.46,New York Stock Exchange
FDC,First Data Corporation Class A,26.5,New York Stock Exchange
BAH,Booz Allen Hamilton Holding Corp,79.54,New York Stock Exchange
BUFF,Blue Buffalo Pet Products Inc.,32.1281,Nasdaq Global Select
ARI,Apollo Commercial Real Estate Finance Inc,8.88,New York Stock Exchange
MET,MetLife Inc,39.34,New York Stock Exchange
AFL,Aflac Inc,36.91,New York Stock Exchange
TPR,Tapestry Inc,20.48,New York Stock Exchange
WPM,Wheaton Precious Metals Corp,48.81,New York Stock Exchange
LNT,Alliant Energy Corp,55.14,New York Stock Exchange
BTG,B2Gold Corp,6.83,NYSE American
UTX,United Technologies Corporation,86.01,New York Stock Exchange
WLL,Whiting Petroleum Corp,16.11,New York Stock Exchange
LKQ,LKQ Corp,32.06,Nasdaq Global Select
PCG,PG&E Corp,10.92,New York Stock Exchange
CRZO,Carrizo Oil & Gas Inc.,7.83,Nasdaq Global Select
CENX,Century Aluminum Co,7.725,Nasdaq Global Select
PGNX,Progenics Pharmaceuticals Inc.,4.1,Nasdaq Global Select
CLR,Continental Resources Inc,13.36,New York Stock Exchange
FCAU,Fiat Chrysler Automobiles NV,12.67,New York Stock Exchange
IMGN,ImmunoGen Inc,5.25,Nasdaq Global Select
HL,Hecla Mining Co,5.21,New York Stock Exchange
LULU,Lululemon Athletica Inc,330.04,Nasdaq Global Select
UAA,Under Armour Inc,13.47,New York Stock Exchange
CAG,Conagra Brands Inc,37.12,New York Stock Exchange
STLD,Steel Dynamics Inc,31.88,Nasdaq Global Select
PEP,PepsiCo Inc,139.71,Nasdaq Global Select
SO,Southern Co,58.6,New York Stock Exchange
ETE,Energy Transfer Equity L.P. representing Limited Partnership interests,16.81,New York Stock Exchange
COST,Costco Wholesale Corp,378.31,Nasdaq Global Select
GKOS,Glaukos Corp,55.85,New York Stock Exchange
CCI,Crown Castle International Corp,164.46,New York Stock Exchange
ZTO,ZTO Express (Cayman) Inc,29.92,New York Stock Exchange
VGK,Vanguard FTSEEuropean,53.58,NYSE Arca
GS,Goldman Sachs Group Inc,208.03,New York Stock Exchange
IJR,iShares Core S&P Small-Cap,75.51,NYSE Arca
ZAYO,Zayo Group Holdings Inc.,34.99,New York Stock Exchange
ADT,ADT Inc,7.63,New York Stock Exchange
ALTR,Altair Engineering Inc,46.49,Nasdaq Global Select
GGP,GGP Inc.,22.07,New York Stock Exchange
EMR,Emerson Electric Co,70.0,New York Stock Exchange
CNP,CenterPoint Energy Inc,21.34,New York Stock Exchange
ALXN,Alexion Pharmaceuticals Inc,124.0,Nasdaq Global Select
COTY,Coty Inc,3.24,New York Stock Exchange
MA,Mastercard Inc,331.72,New York Stock Exchange
AWI,Armstrong World Industries Inc,67.39,New York Stock Exchange
IYR,iShares U.S. Real Estate,80.94,NYSE Arca
ADP,Automatic Data Processing Inc,146.62,Nasdaq Global Select
TZA,Direxion Small Cap Bear 3X Shares,13.54,NYSE Arca
MULE,MuleSoft Inc. Class A,44.72,New York Stock Exchange
BBVA,Banco Bilbao Vizcaya Argentaria S.A.,2.87,New York Stock Exchange
MNST,Monster Beverage Corp,80.2,Nasdaq Global Select
FEZ,SPDR DJ Euro STOXX 50 Etf,37.02,NYSE Arca
AER,AerCap Holdings NV,28.91,New York Stock Exchange
GTN,Gray Television Inc,12.5,New York Stock Exchange
EWY,iShares Inc MSCI South Korea,67.28,NYSE Arca
CDE,Coeur Mining Inc,7.87,New York Stock Exchange
NCR,NCR Corp,21.77,New York Stock Exchange
AMT,American Tower Corp,243.8,New York Stock Exchange
PSTG,Pure Storage Inc,18.25,New York Stock Exchange
VRX,Valeant Pharmaceuticals International Inc.,23.4,New York Stock Exchange
SJM,J M Smucker Co,114.12,New York Stock Exchange
ETN,Eaton Corporation PLC,108.74,New York Stock Exchange
DUK,Duke Energy Corp,92.06,New York Stock Exchange
CL,Colgate-Palmolive Co,79.83,New York Stock Exchange
IDRA,Idera Pharmaceuticals Inc,2.12,NASDAQ Capital Market
KAR,KAR Auction Services Inc,15.33,New York Stock Exchange
NEE,Nextera Energy Inc,300.99,New York Stock Exchange
PXD,Pioneer Natural Resources Co,83.53,New York Stock Exchange
WPX,WPX Energy Inc,4.56,New York Stock Exchange
ADM,Archer-Daniels-Midland Co,50.87,New York Stock Exchange
VTR,Ventas Inc,41.67,New York Stock Exchange
VMW,VMware Inc,149.56,New York Stock Exchange
RIGL,Rigel Pharmaceuticals Inc,2.57,Nasdaq Global Select
DKS,Dick's Sporting Goods Inc,60.42,New York Stock Exchange
FG,FGL Holdings,8.39,New York Stock Exchange
WTI,W&T Offshore Inc,1.66,New York Stock Exchange
LRCX,Lam Research Corp,363.57,Nasdaq Global Select
NXPI,NXP Semiconductors NV,135.21,Nasdaq Global Select
CE,Celanese Corp,117.36,New York Stock Exchange
HUN,Huntsman Corp,24.5,New York Stock Exchange
CSTM,Constellium SE,9.71,New York Stock Exchange
VER,VEREIT Inc,6.67,New York Stock Exchange
GPK,Graphic Packaging Holding Co,13.76,New York Stock Exchange
WELL,Welltower Inc,54.09,New York Stock Exchange
TJX,TJX Companies Inc,54.93,New York Stock Exchange
PLD,Prologis Inc,103.53,New York Stock Exchange
KSS,Kohls Corp,20.65,New York Stock Exchange
XEC,Cimarex Energy Co,26.81,New York Stock Exchange
TLT,iShares 20+ Year Treasury Bond ETF,159.25,NASDAQ Global Market
DRI,Darden Restaurants Inc,98.34,New York Stock Exchange
OZRK,Bank of the Ozarks,41.24,Nasdaq Global Select
ENDP,Endo International PLC,5.8,Nasdaq Global Select
ATI,Allegheny Technologies Inc,9.14,New York Stock Exchange
IAG,Iamgold Corp,3.86,New York Stock Exchange
VFC,VF Corp,72.37,New York Stock Exchange
BDN,Brandywine Realty Trust,10.03,New York Stock Exchange
HON,Honeywell International Inc,173.26,New York Stock Exchange
YNDX,Yandex NV,56.13,Nasdaq Global Select
USG,USG Corporation,43.49,New York Stock Exchange
GOOGL,Alphabet Inc,1551.08,Nasdaq Global Select
ICE,Intercontinental Exchange Inc,99.95,New York Stock Exchange
OMER,Omeros Corp,11.26,NASDAQ Global Market
WY,Weyerhaeuser Co,30.11,New York Stock Exchange
HEFA,iShares Currency Hedged MSCI EAFE,27.93,BATS Exchange
BLL,Ball Corp,91.39,New York Stock Exchange
CGNX,Cognex Corp,68.45,Nasdaq Global Select
AMGN,Amgen Inc,231.1,Nasdaq Global Select
FSLR,First Solar Inc,84.3,Nasdaq Global Select
IVZ,Invesco Ltd,14.09,New York Stock Exchange
DG,Dollar General Corp,217.78,New York Stock Exchange
SID,Companhia Sider??rgica Nacional,3.68,New York Stock Exchange
SLM,SLM Corp,9.44,Nasdaq Global Select
SLCA,U.S. Silica Holdings Inc,2.72,New York Stock Exchange
HCP,HCP Inc.,31.57,New York Stock Exchange
